Borough,Year,"Total Enrollment","Grade 3K","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Neither Female nor Male","% Neither Female nor Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multi-Racial","% Multi-Racial","# Native American","% Native American","# White","% White","# Missing Race/Ethnicity Data","% Missing Race/Ethnicity Data","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
Bronx,2018-19,236267,794,14311,17259,18071,17962,18318,18426,18026,17405,16921,16833,17118,16289,13804,14730,114014,0.48256421089172363,122253,0.5174357891082764,,,11608,0.04913085699081421,63949,0.27066412568092346,146742,0.6210854649543762,1016,0.004300219472497702,2272,0.009616238996386528,10219,0.04325191304087639,461,0.001951182377524674,55847,0.23637241125106812,40055,0.16953277587890625,203040,0.8593667149543762,0.8543250560760498
Bronx,2019-20,235448,3980,14010,17103,17680,17598,17462,17981,18216,17498,17260,16785,17243,15699,13611,13322,113952,0.4839794635772705,121496,0.5160205364227295,,,11739,0.04985814169049263,63136,0.2681526243686676,145870,0.6195423007011414,1125,0.004778125323355198,2208,0.009377866983413696,10003,0.042484965175390244,1367,0.005805952940136194,54899,0.23316825926303864,37509,0.15930905938148499,202976,0.8620842099189758,0.8676512241363525
Bronx,2020-21,227224,3374,11395,15468,16863,17031,17016,16906,17579,17401,17160,17061,16183,16132,13909,13746,109949,0.48387935757637024,117275,0.5161206722259521,,,11429,0.050298385322093964,60851,0.26780182123184204,140947,0.6202998161315918,1331,0.00585765577852726,2206,0.009708481840789318,9523,0.041910186409950256,937,0.0041236840188503265,53919,0.23729448020458221,37465,0.16488134860992432,196719,0.8657492399215698,0.866192102432251
Bronx,2021-22,218084,6337,10845,14935,15273,15646,15905,15888,15861,16197,16405,16314,16383,14792,13755,13548,105422,0.4834008812904358,112662,0.5165991187095642,,,11120,0.05098952725529671,58288,0.2672731578350067,135160,0.6197611689567566,1446,0.006630472838878632,2098,0.009620146825909615,9192,0.0421488955616951,780,0.0035766034852713346,51575,0.23649144172668457,36742,0.16847637295722961,185958,0.852689802646637,0.8513739705085754
Bronx,2022-23,213855,6515,10941,14645,15178,14982,15160,15489,15553,15414,15900,16240,16064,15389,13079,13306,103549,0.48420190811157227,110291,0.5157279372215271,15,7.014098082436249E-05,10699,0.05002922564744949,56784,0.2655256986618042,131817,0.6163849234580994,1498,0.007004746235907078,2043,0.009553201496601105,9111,0.04260363429784775,1903,0.008898552507162094,50020,0.23389679193496704,35344,0.1652708649635315,183917,0.8600079417228699,0.8624470829963684
Brooklyn,2018-19,339985,939,23165,24074,25562,25159,25060,25561,25307,25044,23912,23663,25112,24739,20476,22212,164322,0.48332130908966064,175662,0.5166757106781006,,,56134,0.16510728001594543,119917,0.35271263122558594,94884,0.27908289432525635,3651,0.010738709010183811,2787,0.00819742027670145,61262,0.180190309882164,1350,0.003970763646066189,68086,0.20026177167892456,42678,0.12552906572818756,255263,0.7508066296577454,0.728354275226593
Brooklyn,2019-20,342332,5185,23235,24224,24232,24979,24615,24533,25172,24574,24714,23736,25329,24489,20942,22373,165538,0.48355981707572937,176794,0.5164401531219482,,,57027,0.16658389568328857,117272,0.342568039894104,96403,0.2816067337989807,4084,0.01192993950098753,2819,0.008234696462750435,62132,0.18149632215499878,2595,0.007580360397696495,67756,0.19792482256889343,41294,0.12062559276819229,254914,0.7446396946907043,0.7429866790771484
Brooklyn,2020-21,330905,4478,19641,22249,23447,23202,23974,23882,23747,24287,24144,24316,24819,24821,21686,22212,159764,0.48280927538871765,171141,0.5171907544136047,,,55957,0.16910292208194733,111976,0.3383931815624237,93778,0.2833985686302185,4790,0.014475453644990921,2831,0.00855532567948103,59204,0.17891539633274078,2369,0.007159154396504164,66922,0.20223931968212128,42842,0.12946918606758118,246901,0.7461386322975159,0.733782947063446
Brooklyn,2021-22,321526,11602,18945,20941,21808,21757,21740,22473,22488,22174,22969,23307,24724,23442,20969,22187,155585,0.48389554023742676,165941,0.5161044597625732,,,54096,0.16824766993522644,106861,0.33235570788383484,92603,0.28801092505455017,4879,0.015174511820077896,2750,0.00855296291410923,58450,0.1817893385887146,1887,0.0058688875287771225,65677,0.2042665332555771,42212,0.13128642737865448,233170,0.725197970867157,0.7112796902656555
Brooklyn,2022-23,318097,13967,19773,20437,21439,21376,21367,21371,22052,21739,21890,22916,23874,23681,20809,21406,154119,0.4845031499862671,163943,0.5153868198394775,35,0.00011002933024428785,53581,0.16844232380390167,101257,0.3183211386203766,91339,0.28714197874069214,5116,0.016083143651485443,2819,0.008862076327204704,60100,0.18893608450889587,3885,0.012213255278766155,63702,0.20025967061519623,42738,0.13435524702072144,231590,0.7280483841896057,0.7226502895355225
