Borough,Year,"Total Enrollment","Grade 3K","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Neither Female nor Male","% Neither Female nor Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multi-Racial","% Multi-Racial","# Native American","% Native American","# White","% White","# Missing Race/Ethnicity Data","% Missing Race/Ethnicity Data","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
Bronx,2018-19,205457,794,14127,13808,14757,14925,15514,15936,15606,14832,14785,15065,15123,14363,12409,13413,97989,0.4769318997859955,107468,0.5230680704116821,,,10945,0.05327148735523224,51870,0.25246158242225647,129529,0.6304433345794678,893,0.004346408415585756,2016,0.009812272153794765,9841,0.047898098826408386,363,0.0017667930806055665,50898,0.24773067235946655,36677,0.1785142421722412,176353,0.8583450317382813,0.8593729138374329
Bronx,2019-20,200342,3980,13818,13103,13807,14230,14444,15212,15430,14305,14715,14735,15039,13609,11997,11918,95834,0.47835201025009155,104508,0.5216479897499084,,,10946,0.05463657155632973,49611,0.24763154983520508,125952,0.628684937953949,999,0.004986473359167576,1941,0.009688432328402996,9607,0.04795300215482712,1286,0.006419023498892784,49085,0.2450060397386551,33864,0.16903096437454224,172572,0.8613870143890381,0.8716621994972229
Bronx,2020-21,188356,3374,11185,11477,12747,13161,13644,13901,14633,13782,13882,14487,13894,13946,12054,12189,90024,0.477946013212204,98332,0.5220539569854736,,,10510,0.055798593908548355,45955,0.24397948384284973,118988,0.631718635559082,1167,0.006195714697241783,1888,0.010023572482168674,9079,0.04820127785205841,769,0.00408269464969635,47141,0.2502760589122772,33144,0.17596466839313507,162891,0.8648039102554321,0.870140790939331
Bronx,2021-22,176938,6337,10490,10931,11215,11726,12215,12662,12819,12471,12894,13257,13761,12577,11774,11809,84474,0.47742146253585815,92464,0.5225785374641418,,,10115,0.05716691538691521,42852,0.2421865314245224,111757,0.6316167116165161,1178,0.0066576991230249405,1742,0.009845256805419922,8692,0.04912455379962921,602,0.003402321832254529,44131,0.2494150549173355,31716,0.17924922704696655,150535,0.8507782220840454,0.8527278900146484
Bronx,2022-23,170262,6515,10455,10615,11117,11084,11349,11968,12357,11467,12141,12850,12950,12899,11119,11376,81271,0.4773290455341339,88977,0.5225887298583984,14,8.22262154542841E-05,9571,0.056213364005088806,40591,0.23840317130088806,106889,0.6277912855148315,1207,0.0070890747010707855,1672,0.009820159524679184,8585,0.050422292202711105,1747,0.010260657407343388,42324,0.24858160316944122,30034,0.17639872431755066,145816,0.8564212918281555,0.8634594678878784
Brooklyn,2018-19,292865,939,23129,19567,20897,20438,20651,21320,20860,20699,20054,20028,22583,22250,18799,20651,140730,0.4805285632610321,152134,0.5194680094718933,,,55070,0.18803885579109192,89262,0.30478888750076294,83396,0.28475919365882874,3146,0.01074215117841959,2223,0.0075905281119048595,58531,0.19985659420490265,1237,0.0042237890884280205,60169,0.20544961094856262,40537,0.13841530680656433,218324,0.7454766035079956,0.7299110889434814
Brooklyn,2019-20,292956,5185,23182,19319,19374,20268,19905,20136,20794,19911,20510,19965,22684,22059,18894,20770,140773,0.4805260896682739,152183,0.5194739103317261,,,55817,0.19053031504154205,85741,0.29267534613609314,83933,0.28650376200675964,3522,0.012022282928228378,2225,0.007594997063279152,59233,0.20219077169895172,2485,0.008482502773404121,59509,0.20313289761543274,38751,0.13227583467960358,216708,0.7397288084030151,0.7424784898757935
Brooklyn,2020-21,279313,4478,19561,17606,18330,18231,19217,19076,19368,19422,19488,20132,22126,22292,19570,20416,134112,0.480149507522583,145201,0.519850492477417,,,54598,0.19547246396541595,79615,0.28503865003585815,80570,0.2884577512741089,4080,0.014607268385589123,2255,0.008073380216956139,55987,0.20044538378715515,2208,0.007905109785497189,58207,0.20839345455169678,40025,0.14329801499843597,206931,0.7408570051193237,0.7328178882598877
Brooklyn,2021-22,270920,11602,18855,16807,17111,16899,17009,17875,18081,17562,18359,18808,22070,20941,18841,20100,130405,0.4813413619995117,140515,0.5186586380004883,,,52742,0.19467739760875702,75630,0.27915990352630615,79430,0.2931861877441406,4020,0.014838328585028648,2194,0.008098331280052662,55206,0.20377233624458313,1698,0.006267532706260681,57044,0.21055662631988525,38801,0.14321939647197723,194093,0.7164218425750732,0.7069434523582458
Brooklyn,2022-23,269044,13967,19647,16539,17103,16841,16663,16825,17895,17207,17452,18432,21296,21279,18551,19347,129655,0.48191002011299133,139355,0.5179635882377625,34,0.00012637338659260422,52181,0.19394968450069427,71437,0.2655216157436371,78310,0.29106763005256653,4367,0.01623154617846012,2285,0.008493034169077873,56749,0.2109283208847046,3715,0.01380815077573061,55281,0.2054719626903534,38990,0.14492052793502808,193585,0.7195291519165039,0.7184897065162659
