"Administrative District",Year,"Total Enrollment","Grade 3K","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Neither Female nor Male","% Neither Female nor Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multi-Racial","% Multi-Racial","# Native American","% Native American","# White","% White","# Missing Race/Ethnicity Data","% Missing Race/Ethnicity Data","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
01,2018-19,11376,0,759,799,850,816,838,839,832,750,780,782,746,928,813,844,5457,0.47969409823417664,5919,0.5203059315681458,,,2443,0.21475034952163696,1758,0.15453585982322693,4695,0.412710964679718,337,0.029623769223690033,60,0.005274261813610792,2045,0.17976441979408264,38,0.0033403655979782343,2597,0.22828762233257294,966,0.08491560816764832,7314,0.6429324746131897,0.6612324118614197
01,2019-20,11506,211,749,812,782,848,813,818,831,758,765,793,817,873,801,835,5517,0.47948896884918213,5989,0.5205110311508179,,,2442,0.21223708987236023,1747,0.15183383226394653,4689,0.40752649307250977,383,0.03328698128461838,63,0.00547540420666337,2056,0.1786893755197525,126,0.01095080841332674,2593,0.2253606766462326,919,0.07987137138843536,7419,0.6447940468788147,0.6769576668739319
01,2020-21,11021,209,623,728,762,746,787,775,788,755,752,756,830,894,825,791,5278,0.4789039194583893,5743,0.5210961103439331,,,2331,0.21150530874729156,1630,0.14789946377277374,4483,0.40676888823509216,427,0.03874421492218971,57,0.005171944387257099,1992,0.18074585497379303,101,0.009164323098957539,2501,0.2269304096698761,919,0.08338626474142075,7087,0.6430450677871704,0.6701181530952454
01,2021-22,10327,347,524,685,701,686,680,707,717,707,687,718,756,815,784,813,4958,0.48010072112083435,5369,0.519899308681488,,,2110,0.20431877672672272,1570,0.1520286649465561,4289,0.4153190553188324,417,0.040379587560892105,53,0.005132177844643593,1859,0.18001355230808258,29,0.002808172721415758,2440,0.2362738400697708,813,0.0787256732583046,6509,0.6302895545959473,0.6551356911659241
01,2022-23,9910,364,545,612,678,664,684,662,711,601,660,665,731,839,739,755,4824,0.4867810308933258,5084,0.5130171775817871,2,0.00020181635045446455,1991,0.20090816915035248,1471,0.14843592047691345,4117,0.4154389500617981,418,0.042179618030786514,58,0.005852674134075642,1777,0.17931382358074188,78,0.007870837114751339,2300,0.23208880424499512,774,0.07810292392969131,6201,0.6257315874099731,0.6644049882888794
02,2018-19,62973,0,2665,3033,3077,2830,2773,2710,2698,2816,2691,2600,9511,9025,8608,7936,32786,0.5206358432769775,30187,0.47936418652534485,,,13978,0.2219681441783905,8865,0.14077462255954742,20355,0.3232337534427643,2127,0.033776380121707916,353,0.005605577025562525,16659,0.26454195380210876,636,0.010099566541612148,11080,0.17594842612743378,5049,0.08017721772193909,33493,0.5318628549575806,0.5293187499046326
02,2019-20,62820,235,2731,3128,2896,2978,2772,2712,2667,2780,2757,2701,9113,9118,8073,8159,32668,0.5200254917144775,30152,0.47997453808784485,,,13918,0.22155363857746124,8629,0.13736070692539215,20153,0.32080549001693726,2251,0.035832539200782776,354,0.005635147914290428,16983,0.2703438401222229,532,0.008468640968203545,11015,0.17534224689006805,4647,0.07397325336933136,32756,0.5214263200759888,0.5351746678352356
02,2020-21,60327,187,2416,2695,2622,2506,2600,2525,2481,2625,2638,2674,9135,8992,8535,7696,31440,0.5211597084999084,28887,0.47884032130241394,,,13455,0.22303445637226105,8338,0.1382134109735489,19782,0.3279128670692444,2169,0.03595405071973801,352,0.005834866780787706,15503,0.2569827735424042,728,0.012067564763128757,10992,0.18220697343349457,4835,0.08014653623104095,32302,0.5354484915733337,0.5405256152153015
02,2021-22,57900,837,2093,2518,2441,2328,2272,2362,2281,2325,2398,2490,8602,8841,8076,8036,30372,0.5245595574378967,27528,0.4754404127597809,,,12784,0.2207944691181183,8010,0.1383419632911682,19190,0.33143350481987,2209,0.03815198689699173,370,0.006390328053385019,14647,0.2529706358909607,690,0.011917098425328732,10661,0.1841278076171875,4766,0.08231433480978012,30570,0.5279792547225952,0.5317335724830627
02,2022-23,56833,1090,2144,2450,2458,2363,2255,2256,2325,2280,2341,2400,8266,8504,8149,7552,29638,0.5214927792549133,27183,0.47829607129096985,12,0.00021114492847118527,12033,0.21172557771205902,7542,0.13270458579063416,18844,0.3315679132938385,2276,0.04004715755581856,325,0.00571850873529911,14151,0.2489926666021347,1662,0.029243573546409607,10349,0.18209491670131683,5011,0.0881706029176712,29964,0.5272288918495178,0.5407397150993347
03,2018-19,22577,0,1198,1348,1289,1340,1418,1386,1380,1474,1396,1470,2216,2408,2168,2086,12160,0.5386012196540833,10417,0.46139878034591675,,,1936,0.08575098216533661,4712,0.20870797336101532,7172,0.31766843795776367,906,0.04012933373451233,118,0.005226558074355125,7440,0.32953891158103943,293,0.012977809645235538,4145,0.18359392881393433,1070,0.04739336669445038,11050,0.48943614959716797,0.4889771342277527
03,2019-20,22564,202,1184,1384,1300,1243,1334,1369,1345,1408,1454,1365,2460,2202,2225,2089,12268,0.5436979532241821,10296,0.45630207657814026,,,2049,0.09080836921930313,4464,0.19783726334571838,7097,0.31452757120132446,931,0.04126041382551193,116,0.005140932276844978,7443,0.32986173033714294,464,0.020563729107379913,4177,0.18511788547039032,954,0.04227973893284798,10515,0.466007798910141,0.49843376874923706
03,2020-21,21084,207,961,1166,1195,1153,1131,1185,1257,1324,1342,1427,2025,2478,2090,2143,11412,0.5412635207176208,9672,0.45873647928237915,,,2007,0.09519066661596298,4057,0.19242079555988312,6778,0.321476012468338,903,0.04282868653535843,122,0.005786378402262926,6669,0.3163062036037445,548,0.025991272181272507,4017,0.19052362442016602,939,0.04453613981604576,10107,0.4793682396411896,0.5003746151924133
03,2021-22,19766,394,923,1057,1088,1095,1049,1040,1134,1216,1253,1306,1888,1993,2344,1986,10770,0.5448750257492065,8996,0.45512497425079346,,,1946,0.0984518900513649,3813,0.19290700554847717,6412,0.32439541816711426,853,0.04315491393208504,104,0.005261560436338186,6169,0.3121016025543213,469,0.02372761256992817,3903,0.19746027886867523,829,0.041940707713365555,9611,0.4862389862537384,0.49454060196876526
03,2022-23,19751,552,969,1097,1068,1100,1090,1049,1040,1142,1163,1263,2159,1945,1881,2233,10775,0.5455420017242432,8969,0.45410358905792236,7,0.00035441244835965335,1959,0.09918484836816788,3641,0.1843450963497162,6516,0.3299073576927185,880,0.044554706662893295,100,0.0050630345940589905,5976,0.3025669455528259,679,0.03437800705432892,3865,0.19568629562854767,970,0.04911143705248833,9620,0.4870639443397522,0.5068046450614929
04,2018-19,13038,302,778,792,808,857,957,999,976,984,990,966,931,964,897,837,6702,0.5140358805656433,6336,0.4859641194343567,,,1116,0.08559595048427582,3085,0.23661604523658752,7835,0.600935697555542,176,0.013499002903699875,146,0.01119803637266159,611,0.04686301574110985,69,0.005292222835123539,3214,0.24651020765304565,1306,0.10016873478889465,10611,0.8138518333435059,0.8248842358589172
04,2019-20,13004,622,851,759,781,758,823,884,996,982,960,956,902,927,907,896,6707,0.5157643556594849,6297,0.48423561453819275,,,1173,0.09020301699638367,3059,0.2352353185415268,7584,0.5832051634788513,177,0.013611196540296078,140,0.010765918530523777,633,0.04867732897400856,238,0.018302060663700104,3121,0.2400030791759491,1184,0.09104891121387482,10599,0.8150569200515747,0.8420661091804504
