DBN,School Name,Year,% English Language Learners
01M015,P.S. 015 Roberto Clemente,2018-19,0.04597701132297516
01M015,P.S. 015 Roberto Clemente,2019-20,0.08947368711233139
01M015,P.S. 015 Roberto Clemente,2020-21,0.10880828648805618
01M015,P.S. 015 Roberto Clemente,2021-22,0.06145251542329788
01M015,P.S. 015 Roberto Clemente,2022-23,0.06666667014360428
01M020,P.S. 020 Anna Silver,2018-19,0.13097712397575378
01M020,P.S. 020 Anna Silver,2019-20,0.13146552443504333
01M020,P.S. 020 Anna Silver,2020-21,0.11893203854560852
01M020,P.S. 020 Anna Silver,2021-22,0.09971509873867035
01M020,P.S. 020 Anna Silver,2022-23,0.12420382350683212
01M034,P.S. 034 Franklin D. Roosevelt,2018-19,0.07213114947080612
01M034,P.S. 034 Franklin D. Roosevelt,2019-20,0.05743243172764778
01M034,P.S. 034 Franklin D. Roosevelt,2020-21,0.06227106228470802
01M034,P.S. 034 Franklin D. Roosevelt,2021-22,0.06201550364494324
01M034,P.S. 034 Franklin D. Roosevelt,2022-23,0.06818182021379471
01M063,The STAR Academy - P.S.63,2018-19,0.017391303554177284
01M063,The STAR Academy - P.S.63,2019-20,0.021834060549736023
01M063,The STAR Academy - P.S.63,2020-21,0.014423076994717121
01M063,The STAR Academy - P.S.63,2021-22,0.016129031777381897
01M063,The STAR Academy - P.S.63,2022-23,0.02793296054005623
01M064,P.S. 064 Robert Simon,2018-19,0.026905829086899757
01M064,P.S. 064 Robert Simon,2019-20,0.016949152573943138
01M064,P.S. 064 Robert Simon,2020-21,0.0181818176060915
01M064,P.S. 064 Robert Simon,2021-22,0.013953488320112228
01M064,P.S. 064 Robert Simon,2022-23,0.010638297535479069
01M110,P.S. 110 Florence Nightingale,2018-19,0.02150537632405758
01M110,P.S. 110 Florence Nightingale,2019-20,0.02525252476334572
01M110,P.S. 110 Florence Nightingale,2020-21,0.018766755238175392
01M110,P.S. 110 Florence Nightingale,2021-22,0.021212121471762657
01M110,P.S. 110 Florence Nightingale,2022-23,0.03448275849223137
01M134,P.S. 134 Henrietta Szold,2018-19,0.0854092538356781
01M134,P.S. 134 Henrietta Szold,2019-20,0.0734693855047226
01M134,P.S. 134 Henrietta Szold,2020-21,0.0552995391190052
01M134,P.S. 134 Henrietta Szold,2021-22,0.0451977401971817
01M134,P.S. 134 Henrietta Szold,2022-23,0.05494505539536476
01M140,P.S. 140 Nathan Straus,2018-19,0.11168830841779709
01M140,P.S. 140 Nathan Straus,2019-20,0.07258064299821854
01M140,P.S. 140 Nathan Straus,2020-21,0.07262569665908813
01M140,P.S. 140 Nathan Straus,2021-22,0.07941176742315292
01M140,P.S. 140 Nathan Straus,2022-23,0.07641196250915527
01M142,P.S. 142 Amalia Castro,2018-19,0.07365439087152481
01M142,P.S. 142 Amalia Castro,2019-20,0.06686930358409882
01M142,P.S. 142 Amalia Castro,2020-21,0.06624605506658554
