DBN,School Name,Grade,Year,% Level 3+4
01M015,P.S. 015 ROBERTO CLEMENTE,3,2023,62.5
01M015,P.S. 015 ROBERTO CLEMENTE,4,2023,58.82352829
01M015,P.S. 015 ROBERTO CLEMENTE,5,2023,30
01M015,P.S. 015 ROBERTO CLEMENTE,6,2023,s
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2023,s
01M015,P.S. 015 ROBERTO CLEMENTE,3,2022,23.80952454
01M015,P.S. 015 ROBERTO CLEMENTE,4,2022,33.33333206
01M015,P.S. 015 ROBERTO CLEMENTE,5,2022,34.78260803
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2022,31.08108139
01M015,P.S. 015 ROBERTO CLEMENTE,3,2019,70.37036896
01M015,P.S. 015 ROBERTO CLEMENTE,4,2019,77.77777863
01M015,P.S. 015 ROBERTO CLEMENTE,5,2019,36
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2019,60
01M015,P.S. 015 ROBERTO CLEMENTE,3,2018,80
01M015,P.S. 015 ROBERTO CLEMENTE,4,2018,69.2307663
01M015,P.S. 015 ROBERTO CLEMENTE,5,2018,52.38095093
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2018,67.16417694
01M015,P.S. 015 ROBERTO CLEMENTE,3,2017,33.33333206
01M015,P.S. 015 ROBERTO CLEMENTE,4,2017,43.47826004
01M015,P.S. 015 ROBERTO CLEMENTE,5,2017,29.41176414
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2017,35.82089615
01M015,P.S. 015 ROBERTO CLEMENTE,3,2016,20
01M015,P.S. 015 ROBERTO CLEMENTE,4,2016,20
01M015,P.S. 015 ROBERTO CLEMENTE,5,2016,18.75
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2016,19.6078434
01M015,P.S. 015 ROBERTO CLEMENTE,3,2015,12.5
01M015,P.S. 015 ROBERTO CLEMENTE,4,2015,0
01M015,P.S. 015 ROBERTO CLEMENTE,5,2015,4.166666508
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2015,5.357142925
01M015,P.S. 015 ROBERTO CLEMENTE,3,2014,0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,4.166666508
01M015,P.S. 015 ROBERTO CLEMENTE,5,2014,4.761904716
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2014,3.174603224
01M015,P.S. 015 ROBERTO CLEMENTE,3,2013,7.407407284
01M015,P.S. 015 ROBERTO CLEMENTE,4,2013,5
01M015,P.S. 015 ROBERTO CLEMENTE,5,2013,4.166666508
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2013,5.633802891
01M020,P.S. 020 ANNA SILVER,3,2023,20
01M020,P.S. 020 ANNA SILVER,4,2023,33.33333206
01M020,P.S. 020 ANNA SILVER,5,2023,31.25
01M020,P.S. 020 ANNA SILVER,All Grades,2023,29.03225899
01M020,P.S. 020 ANNA SILVER,3,2022,42.8571434
01M020,P.S. 020 ANNA SILVER,4,2022,15.38461494
01M020,P.S. 020 ANNA SILVER,5,2022,22
01M020,P.S. 020 ANNA SILVER,All Grades,2022,23.63636398
01M020,P.S. 020 ANNA SILVER,3,2019,35.08771896
01M020,P.S. 020 ANNA SILVER,4,2019,46.75324631
01M020,P.S. 020 ANNA SILVER,5,2019,34.92063522
01M020,P.S. 020 ANNA SILVER,All Grades,2019,39.59391022
01M020,P.S. 020 ANNA SILVER,3,2018,35.06493378
01M020,P.S. 020 ANNA SILVER,4,2018,48.61111069
01M020,P.S. 020 ANNA SILVER,5,2018,35
01M020,P.S. 020 ANNA SILVER,All Grades,2018,39.71291733
01M020,P.S. 020 ANNA SILVER,3,2017,14.11764717
01M020,P.S. 020 ANNA SILVER,4,2017,45.45454407
01M020,P.S. 020 ANNA SILVER,5,2017,31.57894707
01M020,P.S. 020 ANNA SILVER,All Grades,2017,28.84615326
01M020,P.S. 020 ANNA SILVER,3,2016,39.4736824
01M020,P.S. 020 ANNA SILVER,4,2016,37.1428566
01M020,P.S. 020 ANNA SILVER,5,2016,23.28767204
01M020,P.S. 020 ANNA SILVER,All Grades,2016,33.33333206
01M020,P.S. 020 ANNA SILVER,3,2015,28.5714283
01M020,P.S. 020 ANNA SILVER,4,2015,18.68131828
01M020,P.S. 020 ANNA SILVER,5,2015,32.75862122
01M020,P.S. 020 ANNA SILVER,All Grades,2015,25.83333397
01M020,P.S. 020 ANNA SILVER,3,2014,10.52631569
01M020,P.S. 020 ANNA SILVER,4,2014,29.23077011
01M020,P.S. 020 ANNA SILVER,5,2014,24.63768196
01M020,P.S. 020 ANNA SILVER,All Grades,2014,20.08733559
